65;SEGREDO;RIO GRANDE DO SUL;-29.3426184273269;-52.9820736412151;SEGREDO;RIO GRANDE DO SUL
66;SALTO DO JACUÍ;RIO GRANDE DO SUL;-29.0886812478169;-53.2133096524064;SALTO DO JACUI;RIO GRANDE DO SUL
67;JACUIZINHO;RIO GRANDE DO SUL;-29.0338163561117;-53.0565506587969;JACUIZINHO;RIO GRANDE DO SUL
68;CAMPOS BORGES;RIO GRANDE DO SUL;-28.8921317673265;-52.998914733228;CAMPOS BORGES;RIO GRANDE DO SUL
69;SÃO BORJA;RIO GRANDE DO SUL;-28.6628375266947;-56.0010291536185;SAO BORJA;RIO GRANDE DO SUL
70;GARRUCHOS;RIO GRANDE DO SUL;-28.1894767900687;-55.6340719501044;GARRUCHOS;RIO GRANDE DO SUL
71;ITACURUBI;RIO GRANDE DO SUL;-28.802205033087;-55.2327232640516;ITACURUBI;RIO GRANDE DO SUL
72;SANTO ANTÔNIO DAS MISSÕES;RIO GRANDE DO SUL;-28.5080969775919;-55.2245566426344;SANTO ANTONIO DAS MISSOES;RIO GRANDE DO SUL
73;BOSSOROCA;RIO GRANDE DO SUL;-28.7307243302239;-54.9098109252545;BOSSOROCA;RIO GRANDE DO SUL
74;SÃO LUIZ GONZAGA;RIO GRANDE DO SUL;-28.4066469530094;-54.9596595493639;SAO LUIZ GONZAGA;RIO GRANDE DO SUL
75;SÃO NICOLAU;RIO GRANDE DO SUL;-28.1821546933056;-55.260100232028;SAO NICOLAU;RIO GRANDE DO SUL
76;PIRAPÓ;RIO GRANDE DO SUL;-28.0453158376278;-55.2003099472118;PIRAPO;RIO GRANDE DO SUL
77;DEZESSEIS DE NOVEMBRO;RIO GRANDE DO SUL;-28.2268764434985;-55.0482085020399;DEZESSEIS DE NOVEMBRO;RIO GRANDE DO SUL
78;ROQUE GONZALES;RIO GRANDE DO SUL;-28.135366986895;-55.0291861243459;ROQUE GONZALES;RIO GRANDE DO SUL
79;SÃO PAULO DAS MISSÕES;RIO GRANDE DO SUL;-28.0204849099622;-54.9347083422524;SAO PAULO DAS MISSOES;RIO GRANDE DO SUL
80;PORTO XAVIER;RIO GRANDE DO SUL;-27.9056898469343;-55.139560262016;PORTO XAVIER;RIO GRANDE DO SUL
81;PORTO LUCENA;RIO GRANDE DO SUL;-27.8513751159726;-55.0115620452524;PORTO LUCENA;RIO GRANDE DO SUL
82;PORTO VERA CRUZ;RIO GRANDE DO SUL;-27.7343739194085;-54.8990318240447;PORTO VERA CRUZ;RIO GRANDE DO SUL
83;CAIBATÉ;RIO GRANDE DO SUL;-28.2910748191668;-54.6378867042087;CAIBATE;RIO GRANDE DO SUL
84;SÃO MIGUEL DAS MISSÕES;RIO GRANDE DO SUL;-28.5495371215131;-54.5615630937001;SAO MIGUEL DAS MISSOES;RIO GRANDE DO SUL
85;VITÓRIA DAS MISSÕES;RIO GRANDE DO SUL;-28.3523872492512;-54.4990548870704;VITORIA DAS MISSOES;RIO GRANDE DO SUL
86;ENTRE-IJUÍS;RIO GRANDE DO SUL;-28.3627942778995;-54.2714318511947;ENTRE-IJUIS;RIO GRANDE DO SUL
87;SANTO ÂNGELO;RIO GRANDE DO SUL;-28.3019378733474;-54.2641427984269;SANTO ANGELO;RIO GRANDE DO SUL
88;ROLADOR;RIO GRANDE DO SUL;-28.256344217328;-54.8194269754104;ROLADOR;RIO GRANDE DO SUL
89;SÃO PEDRO DO BUTIÁ;RIO GRANDE DO SUL;-28.1243539018421;-54.8882559534463;SAO PEDRO DO BUTIA;RIO GRANDE DO SUL
90;SALVADOR DAS MISSÕES;RIO GRANDE DO SUL;-28.121697445134;-54.8377420188123;SALVADOR DAS MISSOES;RIO GRANDE DO SUL
91;CERRO LARGO;RIO GRANDE DO SUL;-28.1478408769518;-54.7399972398551;CERRO LARGO;RIO GRANDE DO SUL
92;CAMPINA DAS MISSÕES;RIO GRANDE DO SUL;-27.9916900284003;-54.8453289508288;CAMPINA DAS MISSOES;RIO GRANDE DO SUL
93;MATO QUEIMADO;RIO GRANDE DO SUL;-28.2558159870127;-54.6168368777268;MATO QUEIMADO;RIO GRANDE DO SUL
94;UBIRETAMA;RIO GRANDE DO SUL;-28.0435647657328;-54.6845107762281;UBIRETAMA;RIO GRANDE DO SUL
95;CÂNDIDO GODÓI;RIO GRANDE DO SUL;-27.951318068101;-54.7528340428941;CANDIDO GODOI;RIO GRANDE DO SUL
96;ALECRIM;RIO GRANDE DO SUL;-27.6610744578017;-54.7670962217407;ALECRIM;RIO GRANDE DO SUL
97;SANTO CRISTO;RIO GRANDE DO SUL;-27.8199297346011;-54.6687478952904;SANTO CRISTO;RIO GRANDE DO SUL
98;GUARANI DAS MISSÕES;RIO GRANDE DO SUL;-28.1417792573454;-54.5605559296609;GUARANI DAS MISSOES;RIO GRANDE DO SUL
99;SETE DE SETEMBRO;RIO GRANDE DO SUL;-28.1304163233711;-54.4636861823155;SETE DE SETEMBRO;RIO GRANDE DO SUL
100;SENADOR SALGADO FILHO;RIO GRANDE DO SUL;-28.0274895013967;-54.5454030325181;SENADOR SALGADO FILHO;RIO GRANDE DO SUL
